csa_20,2023,area_sqft
Allendale/Irvington/S. Hilton,52035.6296296296,63770461.7796021
Beechfield/Ten Hills/West Hills,74969.4950980392,47882527.7110596
Belair-Edison,52598.48,44950030.4716797
Brooklyn/Curtis Bay/Hawkins Point,38121.6815718157,176077742.748718
Canton,165587.17953668,15408538.2247314
Cedonia/Frankford,54053.640037594,71541340.3063965
Cherry Hill,27908.57421875,29144181.3516235
Chinquapin Park/Belvedere,67885.1160714286,21022590.1307373
Orchard Ridge/Armistead,50187.6398305085,61243774.4211426
Clifton-Berea,41380.3026315789,23285233.9251099
Cross-Country/Cheswolde,82309.5440528634,38222018.3164673
Dickeyville/Franklintown,59970.6894736842,35719112.4142456
Dorchester/Ashburton,50367.2443181818,34118277.1812134
Downtown/Seton Hill,65082.1467181467,20736554.4064941
Edmondson Village,46302.4202453988,23563061.0443115
Fells Point,104262.222321429,12620515.7171631
Forest Park/Walbrook,71156.8245033113,37200535.0296631
Glen-Fallstaff,55265.3262032086,46995477.4781494
Greater Charles Village/Barclay,63578.1875,27051213.4559937
Greater Govans,56858.0930232558,22698495.7178955
Greater Mondawmin,45568.5380434783,33663448.2791138
Greater Roland Park/Poplar Hill,127879.925650558,56688145.1790161
Greater Rosemont,40203.0027472527,42204384.5406494
Oliver/Johnston Square,42255.6129032258,19072287.8240967
Hamilton,66229.5326633166,45191100.5593872
Harbor East/Little Italy,109946.67,10215859.0836182
Hamilton Hills,79666.9352290679,65360039.1698608
Highlandtown,122280.717391304,11684191.1186523
Howard Park/West Arlington,54195.8348837209,63262430.0730591
Inner Harbor/Federal Hill,119054.072145546,24995836.2615967
Greater Lauraville,86333.9585714286,49665744.2354736
Loch Raven,62930.6439790576,44147812.3265381
Madison/East End,45844.154676259,8897845.19189453
Hampden/Remington,83911.682012848,62441489.2398071
Midtown,56606.474537037,23823949.9294434
Midway/Coldstream,34145.4573643411,17884471.2862549
Morrell Park/Violetville,43180.1818181818,67470845.9901123
Mount Washington/Coldspring,89823.5930232558,56943058.6497192
North Baltimore/Guilford/Homeland,140096.710674157,74923987.6937256
Northwood,68581.1376518219,52743271.7706299
Oldtown/Middle East,30510.0088888889,24585968.2341919
Greektown/Bayview,61095.2358803987,89894372.2113037
Patterson Park North & East,88566.9359903382,14507643.2044067
Penn North/Reservoir Hill,35902.7740112994,41059796.6773071
Pimlico/Arlington/Hilltop,35099.7862903226,30400962.0054932
Poppleton/The Terraces/Hollins Market,28075.3076923077,9302012.99926758
Sandtown-Winchester/Harlem Park,40018.3169642857,23672092.8682861
South Baltimore,144841.440594059,46353935.4255981
Southeastern,58775.6534090909,111251478.472229
Southern Park Heights,44674.9353741497,27876227.5908203
Southwest Baltimore,44581.4166666667,37766068.8365479
The Waverlies,55871.3192771084,20383750.5437012
Upton/Druid Heights,29560.5875,16976622.3380127
Pigtown/Carroll Park,54419.412037037,39343262.0375977
Westport/Mount Winans/Lakeland,37264.171875,45494092.9501953
