vacancy_count,homicide_count,csa,area_sqft,income,pop
231,22,Allendale/Irvington/S. Hilton,63770461.7796021,52035.6296296296,14828
17,7,Beechfield/Ten Hills/West Hills,47882527.7110596,74969.4950980392,12083
103,19,Belair-Edison,44950030.4716797,52598.48,15085
275,45,Brooklyn/Curtis Bay/Hawkins Point,176077742.748718,38121.6815718157,13479
0,3,Canton,15408538.2247314,165587.17953668,8239
24,31,Cedonia/Frankford,71541340.3063965,54053.640037594,22455
53,19,Cherry Hill,29144181.3516235,27908.57421875,7496
13,4,Chinquapin Park/Belvedere,21022590.1307373,67885.1160714286,7219
0,8,Orchard Ridge/Armistead,61243774.4211426,50187.6398305085,9064
1095,41,Clifton-Berea,23285233.9251099,41380.3026315789,7577
2,4,Cross-Country/Cheswolde,38222018.3164673,82309.5440528634,13213
0,2,Dickeyville/Franklintown,35719112.4142456,59970.6894736842,3672
80,20,Dorchester/Ashburton,34118277.1812134,50367.2443181818,10441
7,25,Downtown/Seton Hill,20736554.4064941,65082.1467181467,9448
48,15,Edmondson Village,23563061.0443115,46302.4202453988,7093
34,4,Fells Point,12620515.7171631,104262.222321429,10638
105,16,Forest Park/Walbrook,37200535.0296631,71156.8245033113,9426
23,16,Glen-Fallstaff,46995477.4781494,55265.3262032086,14497
93,12,Greater Charles Village/Barclay,27051213.4559937,63578.1875,16944
86,16,Greater Govans,22698495.7178955,56858.0930232558,9593
536,17,Greater Mondawmin,33663448.2791138,45568.5380434783,8638
2,1,Greater Roland Park/Poplar Hill,56688145.1790161,127879.925650558,7283
668,43,Greater Rosemont,42204384.5406494,40203.0027472527,15099
6,6,Hamilton,45191100.5593872,66229.5326633166,12391
41,18,Hamilton Hills,65360039.1698608,79666.9352290679,16450
13,7,Highlandtown,11684191.1186523,122280.717391304,8820
42,7,Howard Park/West Arlington,63262430.0730591,54195.8348837209,9386
13,15,Inner Harbor/Federal Hill,24995836.2615967,119054.072145546,15124
36,6,Greater Lauraville,49665744.2354736,86333.9585714286,11324
17,4,Loch Raven,44147812.3265381,62930.6439790576,14161
246,27,Madison/East End,8897845.19189453,45844.154676259,6093
34,4,Hampden/Remington,62441489.2398071,83911.682012848,17733
569,33,Midway/Coldstream,17884471.2862549,34145.4573643411,7393
48,11,Morrell Park/Violetville,67470845.9901123,43180.1818181818,8557
6,0,Mount Washington/Coldspring,56943058.6497192,89823.5930232558,5790
17,3,North Baltimore/Guilford/Homeland,74923987.6937256,140096.710674157,17626
10,12,Northwood,52743271.7706299,68581.1376518219,14533
81,13,Greektown/Bayview,89894372.2113037,61095.2358803987,11502
138,21,Patterson Park North & East,14507643.2044067,88566.9359903382,14320
291,16,Penn North/Reservoir Hill,41059796.6773071,35902.7740112994,8072
389,40,Pimlico/Arlington/Hilltop,30400962.0054932,35099.7862903226,9376
92,12,Poppleton/The Terraces/Hollins Market,9302012.99926758,28075.3076923077,4728
1545,42,Sandtown-Winchester/Harlem Park,23672092.8682861,40018.3169642857,10531
1,0,South Baltimore,46353935.4255981,144841.440594059,8208
16,9,Southeastern,111251478.472229,58775.6534090909,6772
403,25,Southern Park Heights,27876227.5908203,44674.9353741497,10660
2207,79,Southwest Baltimore,37766068.8365479,44581.4166666667,13189
57,9,The Waverlies,20383750.5437012,55871.3192771084,7148
92,11,Pigtown/Carroll Park,39343262.0375977,54419.412037037,5189
157,23,Westport/Mount Winans/Lakeland,45494092.9501953,37264.171875,7031
107,29,Oldtown/Middle East,24585968.2341919,30510.0088888889,10009
39,10,Harbor East/Little Italy,10215859.0836182,109946.67,5027
408,33,Upton/Druid Heights,16976622.3380127,29560.5875,8916
33,5,Midtown,23823949.9294434,56606.474537037,17099
426,30,Oliver/Johnston Square,19072287.8240967,42255.6129032258,6955
